"country_region"	"estimated_gdp"	"gdp_year_estimate"	"kg_per_capita"
"democratic.republic.of.the.congo_Africa"	1973	2020	NA
"laos_Asia"	2630	2020	NA
"honduras_Americas"	2406	2020	NA
"ivory.coast_Africa"	2326	2020	NA
"ghana_Africa"	2329	2020	NA
"sao.tome.and.principe_Africa"	2158	2020	NA
"solomon.islands_Oceania"	2258	2020	NA
"nigeria_Africa"	2097	2020	NA
"angola_Africa"	1896	2020	NA
"kenya_Africa"	1838	2020	NA
"mauritania_Africa"	1673	2020	NA
"bangladesh_Asia"	1969	2020	NA
"india_Asia"	1901	2020	NA
"nicaragua_Americas"	1905	2020	NA
"kiribati_Oceania"	1671	2020	NA
"uzbekistan_Asia"	1686	2020	NA
"haiti_Americas"	1177	2020	NA
"zimbabwe_Africa"	1128	2020	NA
"cambodia_Asia"	1513	2020	NA
"cameroon_Africa"	1499	2020	NA
"venezuela_Americas"	16056	2014	NA
"senegal_Africa"	1488	2020	NA
"benin_Africa"	1291	2020	NA
"comoros_Africa"	1403	2020	NA
"timor-leste_Asia"	1381	2020	NA
"pakistan_Asia"	1194	2020	NA
"myanmar_Asia"	1400	2020	NA
"kyrgyzstan_Asia"	1174	2020	NA
"lesotho_Africa"	861	2020	NA
"nepal_Asia"	1155	2020	NA
"guinea_Africa"	1194	2020	NA
"tanzania_Africa"	1077	2020	NA
"zambia_Africa"	1051	2020	NA
"zanzibar_Africa"	NA	NA	NA
"uganda_Africa"	817	2020	NA
"togo_Africa"	915	2020	NA
"mali_Africa"	859	2020	NA
"ethiopia_Africa"	936	2020	NA
"burkina.faso_Africa"	831	2020	NA
"syria_Asia"	2033	2007	NA
"guinea-bissau_Africa"	728	2020	NA
"tajikistan_Asia"	859	2020	NA
"gambia_Africa"	787	2020	NA
"rwanda_Africa"	798	2020	NA
"sudan_Africa"	596	2020	NA
"chad_Africa"	615	2020	NA
"liberia_Africa"	583	2020	NA
"eritrea_Africa"	643	2011	NA
"niger_Africa"	2097	2020	NA
"north.korea_Asia"	NA	NA	NA
"republic.of.the.congo_Africa"	557	2020	NA
"afghanistan_Asia"	509	2020	NA
"yemen_Asia"	824	2018	NA
"malawi_Africa"	625	2020	NA
"sierra.leone_Africa"	485	2020	NA
"central.african.republic_Africa"	477	2020	NA
"madagascar_Africa"	496	2020	NA
"mozambique_Africa"	449	2020	NA
"somalia_Africa"	309	2020	NA
"burundi_Africa"	274	2020	NA
"south.sudan_Africa"	1120	2015	NA
"great.britain_NA"	NA	NA	7.6
"the.netherlands_NA"	NA	NA	5.1
